"","fire_year","fire_size","latitude","longitude"
"1",2008,0.1,44.56638889,-83.99361111
"2",2008,50,36.82361111,-91.09777778
"3",2008,0.1,36.41222222,-82.19277778
"4",2008,0.25,34.93194444,-76.84166667
"5",2008,0.1,30.985,-89.05333333
"6",2008,11,30.92916667,-88.815
"7",2008,19.3,32.37083333,-89.60944444
"8",2008,15,36.45388889,-102.73722222
"9",2008,0.1,34.73722222,-76.93555556
"10",2008,100,31.86833333,-92.88055556
"11",2008,0.1,34.37472222,-118.39888889
"12",2008,124,38.87666667,-78.35638889
"13",2008,15,35.80472222,-99.86083333
"14",2008,640,35.64555556,-100.10444444
"15",2008,46.5,36.50861111,-102.90388889
"16",2008,1,36.95611111,-84.16722222
"17",2008,30,29.27833333,-81.70638889
"18",2008,4,29.26388889,-81.91444444
"19",2008,2,29.12777778,-81.66833333
"20",2008,0.1,29.15916667,-81.59916667
"21",2008,0.01,33.87,-111.46472222
"22",2008,0.1,34.31083333,-118.34222222
"23",2008,2.5,43.96611111,-124.14027778
"24",2008,0.34,40.45194444,-105.42416667
"25",2008,2,34.7375,-94.61361111
"26",2008,4,36.85694444,-91.30111111
"27",2008,5,34.7,-94.80055556
"28",2008,0.54,34.57555556,-90.64694444
"29",2008,27,37.36361111,-91.26166667
"30",2008,3.8,34.63277778,-84.10055556
"31",2008,0.1,38.38916667,-86.46555556
"32",2008,0.1,41.23527778,-123.65777778
"33",2008,18.4,36.66972222,-92.835
"34",2008,0.5,34.85722222,-83.38111111
"35",2008,0.1,32.98333333,-105.68638889
"36",2008,1,37.85916667,-79.63111111
"37",2008,20,36.10666667,-92.31583333
"38",2008,5,35.39972222,-79.99666667
"39",2008,0.1,39.09555556,-86.37222222
"40",2008,5.25,36.4,-82.2
"41",2008,14.25,34.69888889,-93.72944444
"42",2008,85,35.80805556,-82.08
"43",2008,2,35.94722222,-81.89638889
"44",2008,3,35.90638889,-81.70305556
"45",2008,6,36.685,-84.63361111
"46",2008,4.5,38.26916667,-79.2125
"47",2008,0.3,38.36527778,-79.16
"48",2008,1,32.80222222,-105.88083333
"49",2008,0.1,34.18555556,-111.33277778
"50",2008,100,35.51972222,-99.75166667
"51",2008,2,35.67583333,-99.62333333
"52",2008,195,35.82083333,-99.77138889
"53",2008,0.25,35.74,-99.7475
"54",2008,0.1,34.4975,-118.25805556
"55",2008,2,32.92916667,-105.57694444
"56",2008,16,32.95222222,-105.62694444
"57",2008,0.33,35.74694444,-99.71527778
"58",2008,0.5,33.74555556,-85.58083333
"59",2008,900,35.84027778,-99.55277778
"60",2008,25,34.79333333,-77.16333333
